案	區	時間	同意票數	不同意票數	有效票數	無效票數	投票數	投票權人數	投票率(%)	有效同意票數對投票權人數百分比(%)	已送	應送
10	宜蘭縣蘇澳鎮	2018-11-24T22:36:14+08:00	12528	4399	16927	1207	18134	32058	56.57%	39.08%	41	43
10	宜蘭縣蘇澳鎮	2018-11-24T23:34:19+08:00	13507	4747	18254	1306	19560	34512	56.68%	39.14%	43	43
10	宜蘭縣蘇澳鎮	2018-11-24T23:46:32+08:00	13507	4747	18254	1306	19560	34512	56.68%	39.14%	43	43
10	宜蘭縣蘇澳鎮	2018-11-25T00:17:36+08:00	13507	4747	18254	1306	19560	34512	56.68%	39.14%	43	43
10	宜蘭縣蘇澳鎮	2018-11-25T06:18:06+08:00	13507	4747	18254	1306	19560	34512	56.68%	39.14%	43	43
10	宜蘭縣蘇澳鎮	2018-11-24T23:00:41+08:00	13507	4747	18254	1306	19560	34512	56.68%	39.14%	43	43
10	宜蘭縣蘇澳鎮	2018-11-25T03:55:12+08:00	13507	4747	18254	1306	19560	34512	56.68%	39.14%	43	43
10	宜蘭縣蘇澳鎮	2018-11-24T23:42:28+08:00	13507	4747	18254	1306	19560	34512	56.68%	39.14%	43	43
10	宜蘭縣蘇澳鎮	2018-11-24T22:57:01+08:00	13037	4587	17624	1264	18888	33318	56.69%	39.13%	42	43
10	宜蘭縣蘇澳鎮	2018-11-25T01:24:57+08:00	13507	4747	18254	1306	19560	34512	56.68%	39.14%	43	43
10	宜蘭縣蘇澳鎮	2018-11-25T03:43:21+08:00	13507	4747	18254	1306	19560	34512	56.68%	39.14%	43	43
10	宜蘭縣蘇澳鎮	2018-11-24T23:26:31+08:00	13507	4747	18254	1306	19560	34512	56.68%	39.14%	43	43
10	臺東縣綠島鄉	2018-11-25T01:16:54+08:00	1099	443	1542	48	1590	3579	44.43%	30.71%	4	4
10	臺東縣綠島鄉	2018-11-24T22:22:18+08:00	328	141	469	16	485	1023	47.41%	32.06%	2	4
10	臺東縣綠島鄉	2018-11-24T23:54:57+08:00	1099	443	1542	48	1590	3579	44.43%	30.71%	4	4
10	臺東縣綠島鄉	2018-11-24T23:07:45+08:00	774	312	1086	32	1118	2497	44.77%	31%	3	4
10	臺東縣綠島鄉	2018-11-24T23:18:55+08:00	774	312	1086	32	1118	2497	44.77%	31%	3	4
10	臺東縣綠島鄉	2018-11-25T06:23:11+08:00	1099	443	1542	48	1590	3579	44.43%	30.71%	4	4
10	臺東縣綠島鄉	2018-11-24T22:39:38+08:00	774	312	1086	32	1118	2497	44.77%	31%	3	4
10	臺東縣綠島鄉	2018-11-25T06:07:55+08:00	1099	443	1542	48	1590	3579	44.43%	30.71%	4	4
10	臺東縣綠島鄉	2018-11-24T22:29:09+08:00	774	312	1086	32	1118	2497	44.77%	31%	3	4
10	臺東縣綠島鄉	2018-11-24T23:11:23+08:00	774	312	1086	32	1118	2497	44.77%	31%	3	4
10	臺東縣綠島鄉	2018-11-25T04:01:59+08:00	1099	443	1542	48	1590	3579	44.43%	30.71%	4	4
10	臺東縣綠島鄉	2018-11-25T00:08:37+08:00	1099	443	1542	48	1590	3579	44.43%	30.71%	4	4
10	臺東縣綠島鄉	2018-11-24T22:44:20+08:00	774	312	1086	32	1118	2497	44.77%	31%	3	4
10	臺東縣綠島鄉	2018-11-24T22:57:02+08:00	774	312	1086	32	1118	2497	44.77%	31%	3	4
10	臺東縣綠島鄉	2018-11-24T23:00:42+08:00	774	312	1086	32	1118	2497	44.77%	31%	3	4
10	臺東縣綠島鄉	2018-11-25T06:28:24+08:00	1099	443	1542	48	1590	3579	44.43%	30.71%	4	4
10	臺東縣綠島鄉	2018-11-24T22:18:48+08:00	328	141	469	16	485	1023	47.41%	32.06%	2	4
10	臺東縣綠島鄉	2018-11-25T03:43:22+08:00	1099	443	1542	48	1590	3579	44.43%	30.71%	4	4
10	臺東縣綠島鄉	2018-11-25T03:31:38+08:00	1099	443	1542	48	1590	3579	44.43%	30.71%	4	4
10	臺東縣綠島鄉	2018-11-25T01:01:38+08:00	1099	443	1542	48	1590	3579	44.43%	30.71%	4	4
10	臺東縣綠島鄉	2018-11-24T23:50:43+08:00	1099	443	1542	48	1590	3579	44.43%	30.71%	4	4
10	臺東縣綠島鄉	2018-11-24T23:22:51+08:00	774	312	1086	32	1118	2497	44.77%	31%	3	4
10	臺東縣綠島鄉	2018-11-24T23:26:32+08:00	774	312	1086	32	1118	2497	44.77%	31%	3	4
10	臺東縣綠島鄉	2018-11-25T03:49:02+08:00	1099	443	1542	48	1590	3579	44.43%	30.71%	4	4
10	臺東縣綠島鄉	2018-11-25T00:22:13+08:00	1099	443	1542	48	1590	3579	44.43%	30.71%	4	4
10	臺東縣綠島鄉	2018-11-25T06:13:05+08:00	1099	443	1542	48	1590	3579	44.43%	30.71%	4	4
10	臺東縣綠島鄉	2018-11-24T22:12:32+08:00	328	141	469	16	485	1023	47.41%	32.06%	2	4
10	臺東縣綠島鄉	2018-11-24T22:36:15+08:00	774	312	1086	32	1118	2497	44.77%	31%	3	4
10	臺東縣綠島鄉	2018-11-25T03:38:04+08:00	1099	443	1542	48	1590	3579	44.43%	30.71%	4	4
10	臺東縣綠島鄉	2018-11-24T22:15:19+08:00	328	141	469	16	485	1023	47.41%	32.06%	2	4
